Knives Out,10
Knocked Up,7.5
Kong Skull Island ,7.5
Krampus,6
Kronks new groove ,6.5
Kung Fu Panda,10
Kung Fu Panda 2,10
Kung Fu Panda 3,10
L.A. Confidential,8
Labyrinth,7
Lady And The Tramp,9.5
Lady and the tramp 2019,8
Laid In America,5.5
Lala Land,7
Lassie,8.5
Last Christmas,7
Last holiday ,9.1
Last night in Soho,8.5
Lawerence Of Arabia,8
Le mans '66,8.5
le voyage dans la lune (1902),5
Leap Year,9
Legend,6
Legends of the fall,7
lego batman movie,8
leon the professional,8
Lethal Weapon ,9
Lethal Weapon 2,8.5
Lethal Weapon 3,8.5
Lethal Weapon 4,8
Liar liar,8
Licorice pizza,8.5
Life,7
Life as we know it,7.5
Life Is Beautiful ,9
Life of pi,8
Life On Our Planet,10
Lilo and stitch,8.5
Limitless,6
Little Fockers,6
Little monsters 2019,8.5
Little Shop Of Horrors,8.8
Little Women (1994),9
Little women (2019),9.5
Live and let die,8.5
Local hero,8
Lock stock and two smoking barrels ,8
Logan ,9
lol,3.5
London Has Fallen,7
London's Trafalgar square (1890),5
Lone survivor,8
Looper,8
Lord Of The Rings: Fellowship Of The Ring,9.8
Lord Of The Rings: Return Of The King,10
Lord Of The Rings: The Two Towers,9.9
Love Actually ,9.1
Love and monsters,8
Love And Other Drugs,8.5
Love hard,6.5
Love the coopers,5.5
"Love, Rosie",8.5
Luca,8
Lucy,7.5
MAD MAX,3
Mad Max Fury Road,7.5
Madagascar ,8
Madagascar 2,8
Madagascar 3,6
Made in Italy,7.5
Made Of Honour,8.5
Madly Madagascar,6.5
Magic mike,4
Magnolia,8.5
Magnum force,8.5
Make mine music,3.5
Maleficant ,7
Maleficant 2,6.5
Mama Mia ,8.5
Mama Mia Here We Go Again!,8.5
Man Of Steel,7.5
Man up,6
Manchester by the sea,8.5
Marathon Man,7
March Of the penguins,6
Mardi Gras Spring Break,4.5
Marley And Me,8
Marriage story,9.5
Mary poppins,9
Mary poppins returns,7.5
Matilda,7
Me myself and Irene,8
Mean Girls,8
Mean Girls 2,7
Mean streets,6.5
Meet me in st.louis ,7
Meet The Fockers,9
Meet The Parents ,7.7
